Run,No,File,AES Bytes,AES Encrypt us,AES Decrypt us,AES Verify,SPECK Bytes,SPECK Encrypt us,SPECK Decrypt us,SPECK Verify
1,1,/f01.wav,37060,18243,18718,BERHASIL,37060,15169,18185,BERHASIL
1,2,/f02.wav,50122,24603,25223,BERHASIL,50122,20510,24606,BERHASIL
1,3,/f03.wav,51910,25373,26071,BERHASIL,51910,21274,25462,BERHASIL
1,4,/f04.wav,59142,28898,29883,BERHASIL,59142,24195,29010,BERHASIL
1,5,/f05.wav,65300,32068,32788,BERHASIL,65300,26736,32064,BERHASIL
1,6,/f06.wav,81642,39976,41060,BERHASIL,81642,33431,40057,BERHASIL
1,7,/f07.wav,82478,40381,41615,BERHASIL,82478,33733,40464,BERHASIL
1,8,/f08.wav,83314,40846,41994,BERHASIL,83314,34094,40897,BERHASIL
1,9,/f09.wav,87216,42762,43996,BERHASIL,87216,35725,42828,BERHASIL
1,10,/f10.wav,98766,48367,49948,BERHASIL,98766,40450,48516,BERHASIL
1,11,/f11.wav,123160,60745,61882,BERHASIL,123160,50408,60468,BERHASIL
1,12,/f12.wav,140970,69064,70918,BERHASIL,140970,57650,69226,BERHASIL
1,13,/f13.wav,142386,69574,72011,BERHASIL,142386,58227,69890,BERHASIL
1,14,/f14.wav,145172,71151,73379,BERHASIL,145172,59423,71252,BERHASIL
1,15,/f15.wav,146008,71550,73871,BERHASIL,146008,59748,71619,BERHASIL
2,1,/f01.wav,37060,18142,18724,BERHASIL,37060,15177,18191,BERHASIL
2,2,/f02.wav,50122,24589,25250,BERHASIL,50122,20527,24608,BERHASIL
2,3,/f03.wav,51910,25372,26154,BERHASIL,51910,21237,25481,BERHASIL
2,4,/f04.wav,59142,29044,29561,BERHASIL,59142,24195,29010,BERHASIL
2,5,/f05.wav,65300,32097,32760,BERHASIL,65300,26716,32073,BERHASIL
2,6,/f06.wav,81642,40021,41189,BERHASIL,81642,33435,40067,BERHASIL
2,7,/f07.wav,82478,40339,41637,BERHASIL,82478,33737,40455,BERHASIL
2,8,/f08.wav,83314,40806,42016,BERHASIL,83314,34125,40861,BERHASIL
2,9,/f09.wav,87216,42659,43879,BERHASIL,87216,35661,42787,BERHASIL
2,10,/f10.wav,98766,48336,49926,BERHASIL,98766,40443,48519,BERHASIL
2,11,/f11.wav,123160,60370,62022,BERHASIL,123160,50377,60446,BERHASIL
2,12,/f12.wav,140970,69070,71391,BERHASIL,140970,57651,69227,BERHASIL
2,13,/f13.wav,142386,69748,72025,BERHASIL,142386,58225,69909,BERHASIL
2,14,/f14.wav,145172,71055,73312,BERHASIL,145172,59457,71224,BERHASIL
2,15,/f15.wav,146008,71428,73624,BERHASIL,146008,59750,71650,BERHASIL
3,1,/f01.wav,37060,18126,18710,BERHASIL,37060,15177,18191,BERHASIL
3,2,/f02.wav,50122,24607,25221,BERHASIL,50122,20528,24612,BERHASIL
3,3,/f03.wav,51910,25495,26130,BERHASIL,51910,21237,25481,BERHASIL
3,4,/f04.wav,59142,28898,29883,BERHASIL,59142,24195,29010,BERHASIL
3,5,/f05.wav,65300,31883,33064,BERHASIL,65300,26707,32052,BERHASIL
3,6,/f06.wav,81642,39982,41059,BERHASIL,81642,33435,40067,BERHASIL
3,7,/f07.wav,82478,40267,41636,BERHASIL,82478,33737,40455,BERHASIL
3,8,/f08.wav,83314,40754,42057,BERHASIL,83314,34102,40901,BERHASIL
3,9,/f09.wav,87216,42748,43959,BERHASIL,87216,35719,42809,BERHASIL
3,10,/f10.wav,98766,48362,49901,BERHASIL,98766,40431,48507,BERHASIL
3,11,/f11.wav,123160,60542,62031,BERHASIL,123160,50382,60438,BERHASIL
3,12,/f12.wav,140970,69061,70964,BERHASIL,140970,57659,69219,BERHASIL
3,13,/f13.wav,142386,69607,71927,BERHASIL,142386,58273,69884,BERHASIL
3,14,/f14.wav,145172,71076,73432,BERHASIL,145172,59413,71260,BERHASIL
3,15,/f15.wav,146008,71550,73871,BERHASIL,146008,59748,71615,BERHASIL
4,1,/f01.wav,37060,18142,18724,BERHASIL,37060,15177,18191,BERHASIL
4,2,/f02.wav,50122,24593,25199,BERHASIL,50122,20511,24605,BERHASIL
4,3,/f03.wav,51910,25343,26078,BERHASIL,51910,21233,25478,BERHASIL
4,4,/f04.wav,59142,29044,29561,BERHASIL,59142,24191,29011,BERHASIL
4,5,/f05.wav,65300,31914,33033,BERHASIL,65300,26743,32034,BERHASIL
4,6,/f06.wav,81642,40021,41189,BERHASIL,81642,33431,40057,BERHASIL
4,7,/f07.wav,82478,40563,41451,BERHASIL,82478,33735,40465,BERHASIL
